Education,Experience_Years,Programming,Python,SQL,Machine_Learning,Cloud,Communication,Leadership,Data_Analysis,Electronics,Networking,Linux,Project_Count,Certifications,Job_Role,Salary_LPA
BCA,2.2,5,6,5,3,8,5,4,4,5,6,8,2,0,Cloud Engineer,14.58
Diploma,4.0,9,5,2,2,2,6,5,3,10,1,6,7,3,Embedded Systems Engineer,16.34
B.Tech,1.5,7,5,1,4,5,5,6,5,9,6,5,0,0,Embedded Systems Engineer,10.79
B.Tech,2.3,10,3,2,3,1,5,5,2,9,6,8,1,2,Embedded Systems Engineer,17.51
B.Tech,3.9,10,7,6,9,8,3,3,7,4,8,7,4,3,ML Engineer,22.27
M.Sc,4.9,10,4,1,4,3,6,3,1,8,4,6,6,3,Embedded Systems Engineer,20.4
B.Tech,3.7,6,4,4,5,3,4,1,3,9,3,6,7,3,Embedded Systems Engineer,16.68
B.Tech,3.8,6,7,2,3,6,6,6,3,1,10,8,5,2,Cloud Engineer,20.77
B.Sc,5.2,5,2,3,1,7,7,7,3,1,7,8,6,0,Network Engineer,17.6
M.Tech,2.0,6,7,10,4,3,6,7,7,3,4,3,4,0,Data Analyst,14.14
M.Sc,5.7,6,5,4,1,7,8,3,4,6,8,8,9,2,Network Engineer,20.88
BCA,1.8,8,9,6,3,6,8,4,7,2,7,4,4,1,Software Developer,16.84
M.Tech,0.6,8,4,3,2,3,5,6,2,8,5,4,1,1,Embedded Systems Engineer,13.06
B.Sc,3.7,2,5,6,2,1,10,9,9,2,1,2,7,0,Business Analyst,12.42
M.Tech,3.3,4,4,5,2,4,10,9,5,2,1,3,6,2,Business Analyst,15.6
B.Tech,1.0,5,2,4,2,1,10,7,10,3,2,3,2,1,Business Analyst,10.21
M.Sc,3.6,7,8,9,7,5,8,5,8,1,4,2,6,3,Data Scientist,20.72
MBA,2.9,2,3,10,3,6,10,7,8,4,5,1,5,1,Business Analyst,16.18
B.Sc,3.2,7,1,3,2,7,7,6,2,3,8,7,7,1,Network Engineer,16.12
M.Tech,6.4,9,6,7,7,7,8,2,9,4,3,5,10,3,Data Scientist,24.52
B.Tech,2.8,7,4,3,3,10,6,6,2,2,10,9,5,4,Cloud Engineer,15.35
M.Sc,2.5,7,6,7,4,4,7,4,8,1,1,3,2,1,Data Analyst,12.24
BCA,5.3,7,8,8,8,6,5,3,6,1,3,4,7,4,Data Scientist,22.85
B.Sc,3.7,9,5,3,3,10,8,3,6,2,8,7,10,2,Cloud Engineer,17.88
MBA,3.8,4,7,10,2,5,7,8,10,1,1,5,5,2,Data Analyst,17.15
BCA,1.7,4,4,7,4,4,9,3,6,3,2,1,4,2,Data Analyst,11.62
MBA,2.7,9,8,3,2,5,9,5,4,2,6,4,4,1,Software Developer,13.77
M.Tech,3.2,1,4,5,1,1,7,5,8,1,4,2,2,2,Business Analyst,10.47
B.Sc,3.7,5,5,7,3,2,9,8,9,3,3,5,6,3,Business Analyst,17.3
B.Sc,5.3,4,3,7,2,4,9,9,7,1,3,1,9,2,Business Analyst,16.97
B.Sc,5.0,7,10,7,9,7,7,4,8,3,4,4,4,1,Data Scientist,20.16
M.Tech,0.8,7,5,7,4,6,8,4,9,1,4,5,2,1,Data Analyst,12.71
B.Tech,1.5,7,8,2,2,10,7,5,2,2,10,8,4,1,Cloud Engineer,12.78
B.Sc,1.0,10,9,5,8,6,5,6,8,1,6,9,6,4,ML Engineer,16.78
B.Tech,3.2,8,9,8,9,8,4,3,10,1,1,7,3,2,Data Scientist,17.96
B.Tech,2.3,5,7,7,3,3,5,4,10,1,3,2,5,2,Data Analyst,13.24
M.Tech,1.8,7,4,2,2,1,4,3,4,8,4,7,6,1,Embedded Systems Engineer,13.56
M.Sc,4.9,8,7,2,3,10,6,4,3,1,9,10,7,2,Cloud Engineer,20.11
MBA,1.6,4,4,6,2,4,9,7,7,1,2,3,4,3,Business Analyst,13.21
B.Tech,5.1,8,7,6,4,3,9,4,7,3,5,6,8,3,Software Developer,21.38
BCA,1.7,5,9,8,7,4,8,5,9,1,2,1,3,3,Data Scientist,14.2
MBA,4.9,9,7,7,6,3,6,5,7,2,6,2,5,3,Software Developer,17.2
M.Sc,5.6,10,8,7,8,6,7,5,9,1,2,6,12,4,Data Scientist,23.35
BCA,4.2,5,3,6,4,3,8,6,3,4,1,3,5,2,Business Analyst,15.6
M.Tech,6.3,6,8,6,9,6,8,3,9,1,4,5,10,3,Data Scientist,25.14
M.Sc,4.0,7,9,7,8,5,4,5,10,3,5,4,6,3,Data Scientist,18.77
BCA,3.5,4,1,6,3,1,10,7,8,1,3,5,6,1,Business Analyst,16.04
B.Tech,3.7,9,3,4,2,10,9,2,3,1,9,9,8,2,Cloud Engineer,19.87
B.Sc,2.6,10,9,7,8,6,6,3,6,2,4,4,7,1,ML Engineer,19.83
MBA,6.0,7,8,3,1,6,8,3,3,5,10,10,10,1,Network Engineer,22.17
BCA,5.3,6,4,6,2,9,6,5,4,1,10,9,9,2,Cloud Engineer,18.2
B.Tech,4.6,5,5,8,1,4,8,7,7,2,4,2,7,3,Business Analyst,18.08
B.Sc,3.1,7,7,7,8,7,7,5,7,1,6,3,8,2,Data Scientist,18.67
B.Sc,3.1,9,6,1,3,10,8,6,5,5,10,9,5,2,Cloud Engineer,16.83
M.Tech,5.4,10,7,10,2,3,6,2,5,1,4,5,11,4,Software Developer,21.05
B.Tech,7.1,10,9,3,2,3,6,4,4,2,3,5,10,4,Software Developer,23.42
MBA,1.5,6,5,5,1,8,7,3,5,4,7,10,3,2,Cloud Engineer,14.17
M.Tech,5.4,9,8,5,2,3,8,6,6,4,3,5,6,2,Software Developer,20.61
M.Sc,2.0,5,5,8,3,4,7,6,8,4,1,4,5,1,Data Analyst,14.12
B.Sc,4.2,3,1,4,3,8,6,4,4,5,10,10,4,1,Network Engineer,14.09
B.Tech,3.2,7,10,9,8,4,6,2,7,1,3,4,6,1,Data Scientist,17.24
M.Tech,3.2,9,6,7,1,3,8,3,4,2,5,4,0,1,Software Developer,15.7
B.Tech,3.7,8,5,1,3,8,6,5,1,3,8,7,6,1,Cloud Engineer,16.96
MBA,2.2,6,5,10,7,4,6,2,9,4,4,3,3,1,Data Analyst,15.23
Diploma,3.5,5,6,7,2,9,8,3,6,4,6,9,5,2,Cloud Engineer,16.72
Diploma,1.9,8,1,1,3,1,6,4,3,10,3,6,1,2,Embedded Systems Engineer,10.95
M.Sc,3.4,8,4,4,2,1,5,4,5,9,5,7,4,3,Embedded Systems Engineer,16.9
B.Sc,2.8,6,4,5,3,6,8,4,1,5,8,7,6,2,Network Engineer,14.49
MBA,4.0,9,7,9,5,5,6,5,6,3,2,6,5,4,Software Developer,17.72
MBA,3.9,7,9,4,4,8,7,6,4,1,9,10,7,3,Cloud Engineer,17.64
M.Sc,4.5,9,7,5,4,3,8,4,6,3,4,6,6,3,Software Developer,16.81
B.Tech,5.1,10,8,10,7,8,8,6,7,3,6,8,9,4,ML Engineer,22.73
B.Sc,3.5,8,7,5,2,7,6,6,2,2,7,8,4,1,Cloud Engineer,16.2
B.Tech,3.7,7,3,3,1,3,6,2,5,10,5,4,7,3,Embedded Systems Engineer,16.68
Diploma,5.1,4,10,7,10,5,7,4,7,3,4,2,7,4,Data Scientist,21.44
M.Sc,4.7,7,8,9,8,4,6,3,10,1,5,4,6,2,Data Scientist,21.83
BCA,2.5,7,6,4,4,3,2,6,3,9,5,8,4,1,Embedded Systems Engineer,12.83
MBA,3.6,7,8,9,5,7,6,3,5,3,6,3,8,2,Software Developer,17.85
B.Tech,1.8,10,4,3,2,9,5,6,5,3,6,10,5,2,Cloud Engineer,16.22
M.Sc,4.1,7,7,7,7,5,4,5,9,2,3,8,8,1,Data Scientist,20.43
BCA,0.7,6,2,2,1,3,7,6,3,9,1,6,2,2,Embedded Systems Engineer,9.72
B.Tech,3.5,9,7,6,1,4,6,6,2,3,2,5,6,2,Software Developer,16.88
B.Tech,1.6,8,6,8,10,6,6,5,10,2,2,4,5,1,Data Scientist,19.53
B.Tech,1.1,8,7,6,4,5,5,6,5,1,3,7,4,1,Software Developer,12.34
B.Tech,6.7,6,9,6,9,7,7,4,9,3,3,4,9,2,Data Scientist,24.66
B.Tech,1.6,5,5,5,1,10,6,6,4,5,8,10,1,4,Cloud Engineer,15.75
M.Tech,1.2,3,2,5,2,5,9,7,7,1,1,1,3,2,Business Analyst,12.28
M.Tech,3.4,9,4,5,2,3,6,5,4,8,5,6,6,2,Embedded Systems Engineer,16.31
MBA,3.8,5,4,3,3,7,7,5,1,3,10,7,6,2,Network Engineer,16.62
BCA,2.6,8,9,9,10,5,6,3,7,2,2,3,3,2,Data Scientist,19.32
B.Tech,7.0,9,8,6,8,7,6,4,6,1,4,6,10,5,ML Engineer,24.92
B.Sc,3.8,7,10,7,7,10,6,3,5,3,5,7,6,3,ML Engineer,19.44
B.Tech,4.0,8,5,5,3,8,8,5,2,1,4,9,8,1,Cloud Engineer,18.82
B.Sc,2.3,5,3,8,3,4,6,5,9,1,4,4,5,2,Data Analyst,15.88
M.Sc,3.0,4,5,3,1,6,7,5,2,6,10,6,6,1,Network Engineer,15.08
B.Tech,3.5,10,10,7,10,5,7,4,7,5,6,7,3,2,ML Engineer,18.61
M.Tech,4.7,5,2,5,2,7,8,3,1,4,10,6,7,2,Network Engineer,17.1
B.Tech,0.9,7,8,8,3,4,7,4,4,4,5,7,1,1,Software Developer,12.11
MBA,3.3,10,8,8,3,6,7,7,5,5,4,4,5,2,Software Developer,18.02
MBA,3.6,9,3,2,1,6,9,3,4,4,10,9,7,2,Network Engineer,17.72
B.Tech,0.5,6,3,1,3,3,3,3,3,9,2,5,1,1,Embedded Systems Engineer,7.68
B.Tech,2.2,10,10,9,8,5,4,7,10,1,5,3,5,1,Data Scientist,18.52
BCA,3.3,3,2,6,4,3,9,9,8,3,2,3,6,2,Business Analyst,14.75
BCA,3.8,9,7,6,9,7,5,5,10,1,4,3,6,3,Data Scientist,19.95
B.Tech,5.0,9,5,1,3,1,8,6,4,10,4,7,10,3,Embedded Systems Engineer,19.64
B.Sc,1.4,8,5,2,1,3,7,4,1,9,5,5,2,3,Embedded Systems Engineer,11.41
B.Sc,3.0,6,3,5,2,10,6,5,1,4,8,8,3,0,Cloud Engineer,16.12
MBA,3.4,2,4,4,2,2,10,6,8,1,2,1,9,2,Business Analyst,14.97
B.Tech,2.9,5,6,8,3,4,7,5,7,4,4,3,4,2,Data Analyst,13.06
MBA,1.3,3,3,7,1,2,10,8,8,3,3,3,4,2,Business Analyst,12.28
MBA,4.4,8,6,4,2,10,6,3,6,1,10,9,5,2,Cloud Engineer,18.51
B.Tech,3.3,3,2,3,1,6,7,6,2,6,8,6,8,1,Network Engineer,13.44
B.Tech,4.4,1,1,3,5,3,10,8,8,2,3,2,6,2,Business Analyst,16.01
B.Tech,4.7,5,4,2,2,7,9,3,2,2,9,7,6,4,Network Engineer,16.65
B.Sc,3.0,7,5,6,5,3,3,4,4,1,4,5,7,1,Software Developer,12.32
Diploma,2.0,10,6,6,10,8,9,3,9,4,3,6,4,0,ML Engineer,13.47
MBA,3.7,5,7,9,2,2,9,6,7,1,3,2,5,1,Data Analyst,14.43
M.Tech,2.7,5,2,6,4,2,10,6,9,1,3,3,2,2,Business Analyst,13.48
B.Sc,5.1,4,4,8,5,7,8,4,3,2,9,9,6,3,Cloud Engineer,18.68
MBA,1.2,8,9,7,10,6,5,5,8,2,2,7,2,2,Data Scientist,15.98
B.Sc,3.0,3,4,6,3,3,9,5,6,1,3,3,4,2,Business Analyst,13.13
B.Tech,3.8,7,8,7,8,7,7,5,5,4,7,5,5,3,ML Engineer,19.89
